ingredient,COST,CP,CF,Fat,ME,Ca,TOTALPOS,AVA-P,LYSINE,METHIONINE,CYSTINE,ARGININE,HISTIDINE,LEUCINE,ISOLEUSINE,PHENYLALANINE,THREONINE,TRYPTOPHAN,TYROSINE,VALINE,CHLORIDE,SODIUM,POTASSIUM,CHOLINE,LINOLEICACID,MinQuantity,MaxQuantity
Maize,37,8.25,1.9,3.5,3.3,0.01,0.28,0.12,0.22,0.183,0.184,0.387,0.251,0.967,0.28,0.406,0.3,0.058,0.309,0.397,0.4,0.2,3,620,1.751,600,900
B.Rice,33,9,3,1,3.1,0.04,0.26,0.09,0.321,0.247,0.21,0.741,0.222,0.728,0.358,0.457,0.321,0.111,0.4,0.494,0.5,0.7,1.3,800,0.1,,
FFSoya,,38,6,19,3.8,0.3,0.62,0.28,2.4,0.5,0.57,2.906,1.09,3.37,1.965,2.269,1.69,0.462,1.562,1.767,0.7,0.3,17,2790,9.842,,
R.Polish,28,12,8,15,2.84,0.1,1.7,0.24,0.55,0.19,0.269,0.941,0.321,0.848,0.414,0.548,0.466,0.145,0.424,0.631,1.5,0.8,1.7,1135,3.9,95,200
DORB,20,15,16,1,1.6,0.07,1.2,0.21,0.682,0.314,0.323,1.247,0.413,1.139,0.529,0.727,0.601,0.17,0.493,0.807,0.5,0.7,17,1135,0.26,,
SOYA C.,102,46.5,6,1,2.35,0.3,0.62,0.28,3.028,0.692,0.697,3.556,1.333,4.124,2.405,2.776,2.068,0.566,1.912,2.162,0.4,0.1,20,2790,0.518,,
MBM,,49,0,6,2.5,12,5,5,2.32,0.62,0.48,3.26,1.386,3.534,2.001,1.954,1.47,0.24,1.588,2.359,0.69,0.8,1.45,3056,0.2,,
Mustad C.,49,32.5,4.34,8.68,2.561,0.6,0.6,0.3,1.644,0.62,0.88,2.192,0.943,2.21,1.267,1.338,1.338,0.449,0.997,1.599,0.2,1,13,,1.389,,
Lime Stone,7,,,,,36,,,,,,,,,,,,,,,,,,,,,100
SG,,,,,,33,,,,,,,,,,,,,,,,,,,,,
Lysoforte,,,,,80,,,,,,,,,,,,,,,,,,,,,,
DCP,110,,,,,23,18,17,,,,,,,,,,,,,,,,,,,
Bone meal ,,0,,0,0,18.65,9.63,9.63,0,0,0,0,0,0,0,0,0,0,0,0,6.9,8,14.5,,0.4,,
Soya oil,228,,,98,8.8,,,,,,,,,,,,,,,,,,,,,,
MGM,,65,1.3,1,3.7,0.02,0.28,0.085,1.205,1.761,1.448,3.048,1.981,7.62,2.21,3.2,2.362,0.457,2.438,3.124,0.5,1,0.3,620,2.2,,
Methionine,360,58.1,,,5.02,,,,,98,,,,,,,,,,,,,,,,,
Lysine,200,93.4,,,4.12,,,,99,,,,,,,,,,,,,,,,,,
Betaine,230,,,,,,,,,198,,,,,,,,,,,,,,,,,
Phyatse 5000,500,400,,,100,,,1150,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
SodaBicarb,55,,,,,,,,,,,,,,,,,,,,,220,,,,,
Salt,13,,,,,,,,,,,,,,,,,,,,603,397,,,,,
Hypro Soya 50%,112,48.5,4,1,2.55,0.26,0.45,0.15,2.64,0.59,0.727,3.709,1.391,4.301,2.508,2.896,1.6,0.59,1.994,2.255,0.04,0.039,17,2790,0.518,,
L-Arginine,600,190,,,4.03,,,,,,,98.5,,,,,,,,,,,,,,,
Threonine,250,72.4,,,3.57,,,,,,,,,,,,98,,,,,,,366,,,
Tryptophan,,84,,,5.85,,,,,,,,,,,,,98,,,,,,,,,
