Ingredient,Optimised Quantity,cost per kg,Total cost
Maize,499.0,37.0,18463.0
B.Rice,10.0,33.0,330.0
R.Polish,104.796,28.0,2934.301
DORB,35.338,20.0,706.758
SOYA C.,127.251,102.0,12979.591
Mustad C.,201.0,49.0,9849.0
Lime Stone,17.295,7.0,121.065
DCP,0.0,110.0,0.0
Soya oil,0.0,228.0,0.0
Methionine,0.0,360.0,0.0
Lysine,3.904,200.0,780.838
Betaine,0.058,230.0,13.453
Phyatse 5000,0.357,500.0,178.508
SodaBicarb,0.0,55.0,0.0
Salt,0.0,13.0,0.0
Hypro Soya 50%,1.0,112.0,112.0
L-Arginine,0.0,600.0,0.0
Threonine,0.0,250.0,0.0
